,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,0 days 00:59:57.034000,VER,1,0 days 00:01:27.458000,1.0,1.0,,,,0 days 00:00:18.462000,0 days 00:00:35.518000,,0 days 00:59:21.516000,0 days 00:59:57.152000,278.0,285.0,283.0,238.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:58:29.232000,2024-03-24 04:03:12.430,1,1.0,False,,False,False
1,0 days 01:01:21.133000,VER,1,0 days 00:01:24.099000,2.0,1.0,,,0 days 00:00:29.623000,0 days 00:00:18.375000,0 days 00:00:36.101000,0 days 01:00:26.657000,0 days 01:00:45.032000,0 days 01:01:21.133000,273.0,297.0,298.0,281.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:59:57.034000,2024-03-24 04:04:40.232,1,2.0,False,,False,True
2,0 days 01:02:44.248000,VER,1,0 days 00:01:23.115000,3.0,1.0,,,0 days 00:00:28.793000,0 days 00:00:18.573000,0 days 00:00:35.749000,0 days 01:01:49.926000,0 days 01:02:08.499000,0 days 01:02:44.248000,275.0,314.0,295.0,305.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:01:21.133000,2024-03-24 04:06:04.331,1,2.0,False,,False,True
3,0 days 01:04:24.613000,VER,1,,4.0,1.0,,0 days 01:04:24.613000,0 days 00:00:28.756000,0 days 00:00:18.353000,,0 days 01:03:13.063000,0 days 01:03:31.408000,,270.0,308.0,,302.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:02:44.248000,2024-03-24 04:07:27.446,1,19.0,False,,False,False
4,0 days 01:00:06.880000,GAS,10,0 days 00:01:37.304000,1.0,1.0,,,,0 days 00:00:18.854000,0 days 00:00:38.564000,,0 days 00:59:28.406000,0 days 01:00:06.942000,267.0,316.0,287.0,223.0,False,MEDIUM,1.0,True,Alpine,0 days 00:58:29.232000,2024-03-24 04:03:12.430,1,17.0,False,,False,False
5,0 days 01:01:31.529000,GAS,10,0 days 00:01:24.649000,2.0,1.0,,,0 days 00:00:29.905000,0 days 00:00:18.241000,0 days 00:00:36.503000,0 days 01:00:36.747000,0 days 01:00:54.988000,0 days 01:01:31.491000,270.0,325.0,304.0,287.0,True,MEDIUM,2.0,True,Alpine,0 days 01:00:06.880000,2024-03-24 04:04:50.078,1,17.0,False,,False,True
6,0 days 01:02:55.380000,GAS,10,0 days 00:01:23.851000,3.0,1.0,,,0 days 00:00:29.379000,0 days 00:00:18.148000,0 days 00:00:36.324000,0 days 01:02:00.870000,0 days 01:02:19.018000,0 days 01:02:55.342000,271.0,322.0,304.0,292.0,True,MEDIUM,3.0,True,Alpine,0 days 01:01:31.529000,2024-03-24 04:06:14.727,1,17.0,False,,False,True
7,0 days 01:04:19.080000,GAS,10,0 days 00:01:23.700000,4.0,1.0,,,0 days 00:00:29.050000,0 days 00:00:18.116000,0 days 00:00:36.534000,0 days 01:03:24.392000,0 days 01:03:42.508000,0 days 01:04:19.042000,272.0,320.0,304.0,305.0,True,MEDIUM,4.0,True,Alpine,0 days 01:02:55.380000,2024-03-24 04:07:38.578,1,16.0,False,,False,True
8,0 days 01:05:43.606000,GAS,10,0 days 00:01:24.526000,5.0,1.0,,,0 days 00:00:29.693000,0 days 00:00:17.983000,0 days 00:00:36.850000,0 days 01:04:48.735000,0 days 01:05:06.718000,0 days 01:05:43.568000,273.0,334.0,302.0,,False,MEDIUM,5.0,True,Alpine,0 days 01:04:19.080000,2024-03-24 04:09:02.278,1,16.0,False,,False,True
9,0 days 01:07:07.518000,GAS,10,0 days 00:01:23.912000,6.0,1.0,,,0 days 00:00:29.368000,0 days 00:00:18.107000,0 days 00:00:36.437000,0 days 01:06:12.936000,0 days 01:06:31.043000,0 days 01:07:07.480000,272.0,320.0,301.0,308.0,False,MEDIUM,6.0,True,Alpine,0 days 01:05:43.606000,2024-03-24 04:10:26.804,1,15.0,False,,False,True
